company name,Current clients,Days per week of sanitation services,Hours logged by sanitation workers,Hours logged by public safety officers,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Supplies and equipment costs,Total Quotation,Number_Of_Sanitation_Activities,Beautification_Activities,Media_Reach,Total_Staff,Sanitation_services_provided_Yes,Beautification_services_provided_Yes
Building Innovation People,967,7,24298,5546,291340,57543,486611,266611,136182,222461,93323,9923,2114,946947,220818,944,39336918,114,1,1
South Adventure Atlantic,2594,7,140043,61975,423722,19307,467996,340787,38951,1155443,21485,86395,20778,867041,137317,99,16303457,59,1,1
Net Digital People,766,7,120116,59055,217535,111299,294255,249852,244762,921618,59008,71322,7968,900168,267308,606,7722058,72,1,0
Consulting Venture Industries,752,7,68159,35391,360146,16596,76240,40785,39235,194142,101371,2057,3743,172856,89941,562,5414594,74,1,1
Graphics Star Technology,1010,7,169644,115566,192313,103393,566281,114301,237638,377030,120232,73705,12612,1021613,250540,259,31475074,152,1,1
Consulting Galaxy Construction,559,7,128220,115566,9795,113391,317154,78587,92361,202179,99155,77454,19117,601493,92375,760,11191380,144,1,0
Innovation Architecture Virtual,1331,7,102041,77484,281710,31003,165585,116113,47371,1081573,105662,68435,16308,360072,234564,448,10253504,71,1,1
People Signal Virtual,909,3,176741,51406,196511,100244,338955,204936,20848,1157963,38827,9383,5701,664983,147275,457,12179816,55,1,1
West Source Net,401,7,162396,90486,360146,71184,82413,9204,44974,745924,141807,68804,19296,207775,61907,967,37828833,12,0,0
Federated Solutions Direct,401,7,25264,25851,140849,47380,215793,321442,90238,385967,8963,59246,13410,674853,261732,1180,15581593,105,1,1
Max Electronic Speed,401,7,160168,25851,167592,104196,418744,324619,24327,1064711,132237,100582,19308,871886,195437,728,20156428,36,1,1
Vision Industries Galaxy,832,7,75693,101541,336921,8600,566610,31507,131694,700098,58306,21571,2650,738411,75913,733,24328434,104,1,1
Star People Frontier,1350,1,27957,99046,449206,50190,547809,109698,198624,497546,18200,72501,13323,906321,274289,586,41415503,65,1,1
Studio Contract Alpha,1350,7,89350,99046,454427,70596,167252,324792,105356,1036697,29250,72811,8338,667996,217958,467,11809166,111,1,1
Star Design Omega,702,5,110530,99046,9795,112013,116192,118953,63129,1077028,10142,23226,5096,410287,74232,662,74430277,130,1,1
Analysis Resource Consulting,384,7,71338,93239,217535,71671,68075,287317,87037,916907,137448,96628,17004,514100,125907,544,7712283,86,1,1
Medicine Max Medicine,345,7,174466,93239,225721,114114,568089,87122,157976,661082,141720,52455,9723,927301,240876,979,32734428,45,1,1
Virtual Source Contract,345,7,43453,38337,360146,14918,574618,293696,187657,1188999,72698,75715,13022,1070889,146790,694,54079505,43,1,1
Adventure Internet Source,345,7,43453,38337,211646,122160,328276,276047,172243,776965,15208,27291,2211,898726,146790,694,54079505,43,1,1
Federated Power Technology,548,7,14848,18392,291340,57488,486566,266623,136240,222498,93347,9872,2135,946917,220885,851,46222729,116,1,1
Atlantic Internet Vision,139,7,101832,18945,449206,29985,353086,53951,37427,660228,132359,104789,9348,474449,214460,495,7064959,19,1,1
Contract Federated Venture,449,7,158907,18945,9795,20621,328607,118959,45455,280441,10168,101118,4227,513642,162238,504,3501430,123,1,1
Net Electronic Application,265,7,149326,71267,196511,31002,540563,127412,160815,377044,114346,88745,18893,859792,43719,388,51473450,58,1,1
Contract Building Omega,713,7,40388,72496,291340,47842,214530,86534,127036,467391,30951,19667,4840,475942,59282,735,10677237,134,1,1
Contract Virtual Contract,624,7,41235,110597,167592,84327,89702,261586,65165,37466,132184,80608,12325,500780,129674,797,30336780,108,1,1
Architecture Systems Pacific,502,7,21022,110597,76796,95110,442595,34001,59037,785083,74754,9810,15950,630743,143394,846,10128162,54,1,0
Internet Power Star,105,7,153594,110597,9795,113346,317141,78620,92308,202174,99175,77497,19108,601415,92411,612,11045344,122,1,0
Vision Frontier Building,884,7,122440,110597,403576,36689,61641,337195,190506,989838,67627,39954,20093,626031,125312,297,1780473,35,1,1
Studio Building Digital,499,7,158636,110597,225721,114120,568068,87111,157984,660225,141741,52437,9684,927283,240889,978,24358481,86,1,1
South General Direct,2546,7,140603,75142,423722,19247,467954,340755,38966,1155424,21497,86396,20792,866922,137362,183,17636385,98,1,1
Star Network Venture,104,7,157380,75142,19576,102198,508779,26205,51529,600550,21414,53795,10682,688711,160076,399,16448458,105,1,1
Future Medicine Innovation,576,7,166342,120164,192313,103338,566310,114311,237627,377016,120176,73718,12588,1021586,250446,237,25698761,122,1,1
Max Future West,427,7,40082,70491,360146,68257,82458,169047,180076,425443,72167,70651,14701,499838,194315,491,21453258,133,1,1
North Hill Resource,670,7,98380,20618,449206,30010,353057,54004,37419,660223,132346,104798,9373,474490,214566,365,7984516,45,1,1
South Contract Industries,719,5,135860,20618,454427,71822,258613,87085,91211,1178044,141749,6938,1522,508731,81564,763,36497463,30,1,1
Hardware Speed Venture,1333,7,44139,117243,76796,9748,93107,179261,75517,841330,69416,40142,1012,357633,261977,456,17359081,151,1,1
Industries Vision Architecture,949,7,48556,73709,291340,47834,214529,86555,127010,467420,30947,19672,4838,475928,59230,738,15715985,107,1,1
Adventure Atlantic Industries,660,7,105924,79994,206317,61784,340029,320675,56479,984512,98050,63831,4367,778967,153052,912,12886623,54,1,1
North General Speed,5557,7,95901,46098,281710,116324,33981,184198,64186,51783,31000,54247,8572,398689,96935,666,30401213,78,1,1
South Adventure Resource,668,7,119228,57654,217535,111263,294258,249875,244765,921615,59013,71366,7925,900161,267196,576,7553340,69,1,0
South Telecom Data,799,7,84005,25821,281710,64043,316476,133280,27294,1189495,73744,78089,17934,541093,164552,631,5224893,102,1,1
Internet Speed Advanced,963,7,135027,25821,403576,76463,494749,29627,235445,568902,63550,63499,16808,836284,108193,1182,18823170,38,1,1
Industries Omega Design,527,7,150332,25821,9795,20622,328614,118936,45407,280422,10140,101048,4222,513579,162313,592,8876955,124,1,1
Building Innovation Industries,1674,7,121012,92899,196511,2153,439338,122259,56535,545813,38799,17471,19720,620285,135159,123,57157287,64,1,0
Future South Frontier,257,7,113156,92899,19576,59436,177304,236733,168156,661085,54682,89429,17148,641629,99765,413,58819092,77,1,1
General Frontier Design,257,7,28786,26241,140849,47435,215792,321421,90241,385964,8931,59265,13412,674889,261754,1038,16210383,133,1,1
Digital Net Pacific,238,7,112642,102401,281710,47097,449065,256945,181703,1178406,3785,69520,5812,934810,196605,731,29840632,118,1,0
Max Building Application,238,7,147753,102401,167592,104195,418712,324570,24336,1064657,132183,100578,19288,871813,195558,628,20523110,62,1,1
Software Atlantic Building,683,7,110938,64191,217535,111258,294253,249843,244736,921587,59001,71380,7974,900090,267282,572,7198194,59,1,0
Adventure Solutions Electronics,312,7,69542,96643,336921,8609,566631,31451,131717,700141,58293,21543,2597,738408,75964,733,24662027,119,1,1
Architecture Net Contract,312,7,30844,47792,449206,47188,428057,109748,41786,341537,1159498,16701,17164,626779,106489,432,31359198,88,1,1
Graphics Net Power,312,7,110401,81489,403576,54415,231260,196608,25176,238739,63409,69928,13601,507459,54721,461,34143755,61,1,1
Data Innovation Graphics,224,5,140804,81489,454427,71834,258631,87085,91176,1178071,141754,6917,1539,508726,81477,813,35854986,35,1,1
Frontier Electronic Telecom,1056,7,169745,120258,192313,103356,566333,114284,237638,377020,120170,73712,12583,1021611,250404,297,25898789,119,1,1
Source Building Studio,508,7,157357,98870,360146,71189,82469,9151,44937,745963,141809,68779,19275,207746,61972,999,36961312,42,0,0
Systems Source Hardware,632,7,186660,10232,34603,19547,457887,69666,61886,1107422,94801,43746,11307,608986,173524,1118,11599259,99,1,1
Electronics Interactive Construction,1023,5,99200,10232,30373,22095,86744,306592,209555,590111,63111,109149,6908,624986,138332,736,29996293,168,1,1
Building East Software,901,7,112151,102770,281710,47086,449031,256978,181676,1178417,3793,69547,5841,934771,196617,716,35042710,109,1,0
Resource Electronic Star,1998,7,111118,71314,281710,31005,165533,116107,47361,1081552,105665,68456,16352,360006,234596,491,813018,87,1,1
Max Galaxy Graphics,171,5,122194,71314,454427,71801,258673,87133,91174,1178097,141790,6908,1502,508781,81566,768,36344217,65,1,1
